Box1,Box2,cDNA Name,Gene symbol,Biblio data,comments,Complexes,ENSDARG,Epigenetic,Function,Gene Name,GO component,GO function,GO process,Modification,NR-NS,Original Name,ovaries,pattern,PMID,polymerase,primers,Sequence,size,star,submission ZFIN,target entity,Target moleculres,Vector,ZDB_gene,ZFIN probe ID
V490,,EU1753,kidins220a,,,,,,,kinase D-interacting substrate 220a,membrane ; integral component of membrane,PDZ domain binding ; protein kinase regulator activity,nerve growth factor signaling pathway,,,EU1753,,"G-ES :  Ø
MS : caudal ganglia, spinal chord neurons, tail bud
24h : cranial ganglia, spinal chord neurons, tail bud, nose, tegmentum, anterior diencephalon
36h : brain, marginal zone (+++), nose
48h : brain, marginal zone, nose, ganglion cell layer retina",,T3,,DX504060,0.45055,3,,,,PCR,ZDB-GENE-041014-170,
V491,,EU1803,si:dkey-14d8.20,,,,,,,si:dkey-14d8.20,,,,,,EU1803,,"G-MS :  Ø
24-48h : epiphysis",,T3,,DX504138,0.45065,1,,,,PCR,ZDB-GENE-041210-146,
V492,,EU1853,si:dkey-27n6.5,,,,,,,si:dkey-27n6.5,,,,,,EU1853,,lateral line neuromasts from 24 h - 5 d,,T3,,DX502804,0.305,1,,,,PCR,ZDB-GENE-041014-44,
V493,,EU1902,taar14l,,,,,,,trace amine associated receptor 14l,membrane ; integral component of membrane,trace-amine receptor activity ; signal transducer activity ; G-protein coupled receptor activity,signal transduction ; G-protein coupled receptor signaling pathway,,,EU1902,,cells in nose from 24 to 48 h ,,T3,,DX502967,1.2,1,,,,PCR,ZDB-GENE-041014-31,
V494,,EU1952,si:ch211-223o1.5,,,,,,,si:ch211-223o1.5,,,,,,EU1952,,"G : Ø
ES : tail bud, adaxial cells, cells in ventral mesenchyme ++
MS - 48 h : same
5 d : Ø",,T3,,DX502831,1.2,3,,,,PCR,ZDB-GENE-050419-137,
V495,,EU2001,zbtb7a,,,,,,,zinc finger and BTB domain containing 7a,NA,metal ion binding ; nucleic acid binding,NA,,,EU2001,,NR more in EVL / periderm,,T3,,DX502900,1.2,0,,,,PCR,ZDB-GENE-050208-583,
V496,,EU2051,fgf22,,,,,,,fibroblast growth factor 22,extracellular region,fibroblast growth factor receptor binding ; receptor binding ; growth factor activity,roof plate formation ; midbrain development ; cell proliferation in midbrain ; fibroblast growth factor receptor signaling pathway ; midbrain-hindbrain boundary development,,,EU2051,,"G - ES : Ø
MS : MHB
24 - 48 h : lateral MHB, otic vesicle, dorsal telencephalon
",,T3,,DX503037,306,,,,,PCR,ZDB-GENE-050208-380,
V497,,EU2101,si:dkey-269o24.2,,,,,,,si:dkey-269o24.2,.,,,,,EU2101,,NR more in brain ventricular zone and tectum,,T3,,DX502830,506,0,,,,PCR,ZDB-GENE-041210-348,
V498,,EU2151,znf1181,,,,,,,zinc finger protein 1181,NA,metal ion binding ; nucleic acid binding,NA,,NR,EU2151 ,,NR,,T3,,DX503201,1114,,,,,PCR,ZDB-GENE-050208-386,
V499,,EU2203,wash1,,,,,,,WAS protein family homolog 1,recycling endosome membrane ; WASH complex ; early endosome ; early endosome membrane ; recycling endosome ; membrane ; endosome,alpha-tubulin binding ; actin binding,"protein transport ; retrograde transport, endosome to Golgi ; transport ; Arp2/3 complex-mediated actin nucleation ; endosomal transport",,NS,EU2203 ,,No labelling,,T3,,DX503121,35,,,,,PCR,ZDB-GENE-050419-138,
V5,V413,CB295,guk1a,,,,,,,guanylate kinase 1a,cellular_component,guanylate kinase activity,purine nucleotide metabolic process,,,B64,,"G-48 hrs : YSL (previously guanylate kinase)
ES : + polster
24 - 48 hrs : dorsal spinal chord, axial vasculature, caudal vein",,T3,VY13-M13R or RP,BQ826519,5,1,sending CB,,,pSPORT1,ZDB-GENE-040625-130,
V50,V449,CB1034,mmp13a,,,,,,,matrix metallopeptidase 13a,extracellular matrix,peptidase activity ; metal ion binding ; hydrolase activity ; metallopeptidase activity ; metalloendopeptidase activity ; calcium ion binding ; zinc ion binding,macrophage chemotaxis ; proteolysis,,,GA978,,MS - late : macrophages,,T7,ABJ249-ABJ250,CF924905,1.6,3,sending CB,,,pBK CMV,ZDB-GENE-031202-2,
V500,,EU2251,pus7l,,,,,,,pseudouridylate synthase 7-like,NA,baruol synthase activity ; o-hydroxylaminobenzoate mutase activity ; beta-amyrin synthase activity ; pivalyl-CoA mutase activity ; lupeol synthase activity ; isomerase activity ; RNA binding ; pseudouridine synthase activity,RNA modification ; pseudouridine synthesis ; tRNA processing,,NS,EU2251 ,,no labelling,,T3,,DX503284,25045,,,,,PCR,ZDB-GENE-050419-188,
V501,,EU2301,si:ch211-208h1.1,,,,,,,si:ch211-208h1.1,,,,,,EU2301,,"G : Ø
ES : Ø
MS : ventral diencephalon, posteiror diencephalon, midbrain/diencephalon border, hindbrain rhombomere (less in rhombomere 3 and 4), weak in spinal chord
24 - 48 h : anterior diencephalon, dorsal diencephalon, pretectum, hindbrain (less in rhombomere 3 and 4), nucleus in dorsal diencephalon",,T3,,DX503053,607,4,,,,PCR,ZDB-GENE-050419-107,
V502,,EU2351,skor1b,,,,,,,SKI family transcriptional corepressor 1b,nucleus,transcription corepressor activity ; SMAD binding,"transcription, DNA-templated ; negative regulation of BMP signaling pathway ; regulation of transcription, DNA-templated ; negative regulation of transforming growth factor beta receptor signaling pathway ; negative regulation of transcription from RNA polymerase II promoter",,,EU2351,,"G - ES : Ø
MS : neurons in dorsal telencephalon, in hindbrain and in spinal chord
24 - 36 h : neurons in epiphysis, telencephalon, hypochord, hindbrain and spinal chord
48 h : neurons in margina hindbrain, epiphysis, in subpopulation of inner cell layer of retina
5 d = same",,T3,,DX503228,12,4,,,,PCR,ZDB-GENE-050419-82,
V503,,EU2402,v2ra20,,,,,,,"vomeronasal 2 receptor, a20",membrane ; plasma membrane ; integral component of membrane,signal transducer activity ; G-protein coupled receptor activity,signal transduction ; G-protein coupled receptor signaling pathway,,NR,EU2402 ,,NR,,T3,,DX503177,12,,,,,PCR,ZDB-GENE-050419-220,
V504,,EU2451,zcchc17,,,,,,,"zinc finger, CCHC domain containing 17",NA,nucleic acid binding ; zinc ion binding,NA,,,EU2451,,"G-36h : not expressed
48h-5d : retina inner cell layer weak, nuclei in lateral hindbrain, left habenula
",,T3,,ENSDARG00000061419-461F,45,2,,,,PCR,ZDB-GENE-040325-2,
V505,,EU2501,c1qbp,,,,,,,"complement component 1, q subcomponent binding protein",mitochondrial matrix,molecular_function,biological_process,,,EU2501,,"G : not expressed
ES : segmental plate, adaxial cells, anterior neural plate
MS : eye, tectum, somites, segmental plate
24h : retina, tectum, myotomes (slow muscle fibers), branchial arches 
36h : retina proliferative zone, tectum, branchial arches, pectoral fins, liver, gut
48h : retina, pectoral fin muscles, liver, gut, branchial arches
5d : intestinal bulb, pancreas
",,T3,,ENSDARG00000039887-442F,6,1,,,,PCR,ZDB-GENE-050417-408,
V506,,EU2551,wbscr16,,,,,,,Williams-Beuren syndrome chromosome region 16 homolog (human),,,,,NR,EU2551 ,,NR,,T3,,ENSDARG00000059583-324F,7,,,,,PCR,ZDB-GENE-060526-370,
V507,,EU2601,hoxd10a,,,,,,,homeobox D10a,nucleus,sequence-specific DNA binding ; DNA binding,"transcription, DNA-templated ; multicellular organism development ; regulation of transcription, DNA-templated",,,EU2601,,"G-ES : not expressed
MS : posterior spinal chord, mesoderm at the same position
24h-36h : posterior half of spinal chord, somites, pectoral fin buds
48h : posterior half of spinal chord, somites, pectoral fin buds, dorsal part of pectoral fins
5d : not expressed
",,T3,,ENSDARG00000057859-445F,95,2,,,,PCR,ZDB-GENE-990415-116,
V508,,EU2652,cpne5b,,,,,,,copine Vb,cellular_component,molecular_function,biological_process,,,EU2652,,"G-24h : not expressed
36h-5d : nucleus in dorsal telencephalon
",,T3,,ENSDARG00000070919-398F,5,2,,,,PCR,ZDB-GENE-040426-1398,
V509,,EU2701,cdc42ep4b,,,,,,,CDC42 effector protein (Rho GTPase binding) 4b,plasma membrane ; cytoplasm,GTP-Rho binding ; GTPase activator activity,positive regulation of pseudopodium assembly ; positive regulation of actin filament polymerization ; regulation of cell shape ; Rho protein signal transduction,,,EU2701,,"G : not expressed
ES : weak in adaxial cells anteriorly
MS : trigeminal placode, spinal chord neurons (weak)
24h : blood, CNS with stripes at rhombomere boundaries, lateral line
36h : CNS, ventral mesenchyme, lateral line primordia, branchial arches
48h : CNS proliferative zone, cranial ganglia, branchial arches, retina, pectoral fins,  photoreceptor cell layer of retina
",,T3,,ENSDARG00000045036-438F,95,1,,,,PCR,ZDB-GENE-091008-2,
V51,V450,CB1041,cyp4v8,,,,,,,"cytochrome P450, family 4, subfamily V, polypeptide 8",membrane ; integral component of membrane,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen ; iron ion binding ; metal ion binding ; monooxygenase activity ; heme binding ; oxidoreductase activity",oxidation-reduction process,,,GA1068,,"G, ES : Ø
MS : anterior adaxial cells, ear
24 hrs : slow muscles, cells in atnerior diencephalon, ear
36 hrs : decreasing
48 hrs : part of ear, swim bladder
> liver, intestin brain ventricular zone",,T7,ABJ249-ABJ250,CF943677,2.2,3,sending CB,,,pBK CMV,ZDB-GENE-061103-601,
V510,,EU2751,ddx3a,,,,,,,DEAD (Asp-Glu-Ala-Asp) box helicase 3a,cytoplasmic ribonucleoprotein granule,helicase activity ; nucleotide binding ; ATP binding ; nucleic acid binding ; hydrolase activity ; ATP-dependent RNA helicase activity,translational initiation ; regulation of gene expression ; RNA secondary structure unwinding ; chromosome segregation,,NS,EU2751 ,,NS,,T3,,ENSDARG00000009984-435F,7,,,,,PCR,ZDB-GENE-030131-1565,
V511,,EU2801,si:ch211-285f17.1,,,,,,,si:ch211-285f17.1,NA,NA,embryonic skeletal system development,,,EU2801,,"G-MS : not spatialy restricted
24-36h : not spatialy restricted, more labelling in epiphysis, hypothalamus, posterior midbrain (anterior midbrain hindbrain boundary)
48h : not spatialy restricted, more in pectoral fins
",,T3,,ENSDARG00000059333-443F,45,1,,,,PCR,ZDB-GENE-000607-77,
V512,,EU2852,gps1,,,,,,,G protein pathway suppressor 1,COP9 signalosome,NA,cullin deneddylation,,NR,EU2852 ,,NR,,T3,,ENSDARG00000040650-422F,,,,,,PCR,ZDB-GENE-041111-240,
V513,,EU2901,gc2,,,,,,,guanylyl cyclase 2,"guanylate cyclase complex, soluble ; membrane ; plasma membrane ; integral component of membrane",phosphorus-oxygen lyase activity ; lyase activity ; nucleotide binding ; protein kinase activity ; ATP binding ; guanylate cyclase activity,cyclic nucleotide biosynthetic process ; cGMP biosynthetic process ; signal transduction ; protein phosphorylation ; intracellular signal transduction,,NS,EU2901 ,,no labelling,,T3,,ENSDARG00000018329-343F,,,,,,PCR,ZDB-GENE-011128-8,
V514,,EU2951,efcab7,,,,,,,EF-hand calcium binding domain 7,cellular_component,calcium ion binding,NA,,NR,EU2951 ,,not restricted,,T3,,ENSDARG00000020279-416F,,,,,,PCR,ZDB-GENE-040625-115,
V515,,EU3001,rad54l2,ARIP4 =RAD54L2 contains SNF2 domain that functions as a motor protein in chromatin remodeling complexes.,,#,,epi,Chromatin remodelling,RAD54-like 2 (S. cerevisiae),NA,ATP binding,NA,#,NR,EU3001 ,,not restricted,19692572,T3,,ENSDARG00000063031-432F,,,,#,#,PCR,ZDB-GENE-030131-3097,
V517,,FR_9821,tyro3,,,,,,,TYRO3 protein tyrosine kinase,membrane ; plasma membrane ; integral component of membrane,transmembrane receptor protein tyrosine kinase activity ; protein tyrosine kinase activity ; transferase activity ; nucleotide binding ; protein kinase activity ; ATP binding ; kinase activity,protein phosphorylation ; phosphorylation ; cell adhesion,,NR,WG1 ,,NR,,T7,,CU458897,13,,sending WG,,,PCR,ZDB-GENE-990714-13,
V518,,FR_9871,pdgfra,,,,,,,"platelet-derived growth factor receptor, alpha polypeptide",membrane ; plasma membrane ; integral component of membrane,platelet-derived growth factor alpha-receptor activity ; transmembrane receptor protein tyrosine kinase activity ; protein tyrosine kinase activity ; transferase activity ; nucleotide binding ; protein kinase activity ; ATP binding ; kinase activity,palate development ; cerebellum vasculature development ; embryonic cranial skeleton morphogenesis ; chemotaxis ; transmembrane receptor protein tyrosine kinase signaling pathway ; multicellular organism development ; protein phosphorylation ; phosphorylation ; platelet-derived growth factor receptor signaling pathway,,,WG51,,"G : ventral (?) YSL nuclei
ES : neural crest cells, ventral mesenchyme, segmental plate somites
MS : migrating neural crest, ventral mesenchyme, ventral most part of somites, lens placode
24 h : head mesenchyme, branchial arches ++, lens, parachordal, ventral mesenchyme, dorsal most and ventral most part of somites, choroid fissure
36 h : same + pectoral fin bud
48 h : branchial arches, pectoral fin, head mesenchyme",,T7,,CU458757,18,4,sending WG,,,PCR,ZDB-GENE-990415-208,
V519,,FR_9921,elfn2a,,,,,,,extracellular leucine-rich repeat and fibronectin type III domain containing 2a,membrane ; integral component of membrane,protein binding,NA,,,WG101,,"G - MS : Ø
24 h : primary neurons
36 h - 5 d : ± NR head, neurons in marginal zone in brain and spinal chord",,T7,,CU468797,15,2,sending WG,,,PCR,ZDB-GENE-080327-26,
V52,V450,CB1052,ivns1abpa,,,,,,,influenza virus NS1A binding protein a,cytoskeleton ; actin cytoskeleton ; cytoplasm ; nucleus,NA,NA,,,GA1149,,"G : Ø
ES : ventral YSL, (>5s) anterior neural plate border (putative lens primordium), dorsal neurons in spinal chord (?), one putative primordium (ear, lateral line?)
MS : YSL, pronephric ducts, lens primordium, neural crest cell
24 hrs : YSL, lens, olfactory placode, ventral telencephalon/diencephalon border, pronephric duct, neural crest cells derivative (pigment cell dorso-axial)
36 hrs : same, epiphysis, liver primordium
48 hrs : same
> epiphysis, nose, retina",,T7,ABJ249-ABJ250,CF943687,3.3,3,sending CB,,,pBK CMV,ZDB-GENE-031222-2,
V520,,FR_9971,zgc:123297,,,,,,,zgc:123297,membrane ; integral component of membrane,molecular_function,biological_process,,NR,WG151 ,,NR,,T7,,CU638777,6,,sending WG,,,PCR,ZDB-GENE-051127-9,
V521,,VL01,thraa,,,,ENSDARG00000000151,,,thyroid hormone receptor alpha a,nucleus,"thyroid hormone receptor activity ; transcription factor activity, RNA polymerase II transcription factor binding ; metal ion binding ; steroid hormone receptor activity ; zinc ion binding ; sequence-specific DNA binding ; protein binding ; DNA binding ; transcription factor activity, sequence-specific DNA binding","steroid hormone mediated signaling pathway ; response to hormone ; transcription, DNA-templated ; multicellular organism development ; regulation of transcription, DNA-templated ; negative regulation of transcription from RNA polymerase II promoter ; positive regulation of transcription from RNA polymerase II promoter ; negative regulation of transcription, DNA-templated ; positive regulation of transcription, DNA-templated",,NR,TR alpha A,,NR,,,,BC096778,900,,,,,pBS-KS,ZDB-GENE-990415-263, ZDB-CDNA-050612-31
V522,,VL21,nr1i2,,,,,,,"nuclear receptor subfamily 1, group I, member 2",nucleus,"metal ion binding ; RNA polymerase II transcription factor activity, ligand-activated sequence-specific DNA binding ; steroid hormone receptor activity ; zinc ion binding ; RNA polymerase II transcription factor activity, sequence-specific DNA binding ; sequence-specific DNA binding ; DNA binding ; transcription factor activity, sequence-specific DNA binding","steroid hormone mediated signaling pathway ; transcription, DNA-templated ; transcription from RNA polymerase II promoter ; regulation of transcription, DNA-templated",,,ReverbbetaB,,"G - MS : Ø
24 h : weak retina, epiphysis
36 h : ± Ø
48 h : retina, brain
4.5 d : retina, brain

 72 h : expressed in all retina except in the photoreceptor cell layer",,,,AF342942,1079,2,,,,pCRII-Topo,ZDB-GENE-030903-3,
V523,,VL42,nr2c2,,,,,,,"nuclear receptor subfamily 2, group C, member 2",nucleus,"metal ion binding ; steroid hormone receptor activity ; zinc ion binding ; sequence-specific DNA binding ; DNA binding ; transcription factor activity, sequence-specific DNA binding","steroid hormone mediated signaling pathway ; transcription, DNA-templated ; regulation of transcription, DNA-templated",,,SVP44/COUPalphaA,,"G : ± Ø
ES : ventral mesoderm at the truncal level, weak in anterior segmental plate, midbrain
MS : diencephalon, anterior midbrain, hindbrain, anterior spinal chord, notochord, ventral truncal mesoderm, posterior somites
24 h : diencephalon, anterior midbrain (tegmentum), all hindbrain, part of otic vesicle, spinal chord, proximal part of anterior branchial arches
36 - 48h : diencephalon, anterior midbrain (tegmentum), all hindbrain, part of otic vesicle, proximal part of anterior branchial arches
5 d : decreasing
",,T3,ADX299-M13F or PU,BC066671,586,4,,,,pDNR-LIB,ZDB-GENE-080403-8,
V524,,VL61,kat2a,Current models of HAT protein activity suggest that one hypothesis for the role of hGCN5=KAT2A in c-Myc's activities might be due to the relaxing of chromatin packaging at target genes following histone acetylation by hGCN5.,,"TFTC-HAT, SAGA, ATAC, STAGA",,epi,Histone modification write,K(lysine) acetyltransferase 2A,nucleus,histone acetyltransferase activity ; N-acetyltransferase activity,"histone acetylation ; regulation of transcription, DNA-templated",Histone acetylation,NS?,PCAF,,Not expressed during embryogenesis,10611234,T3,ADX299-M13F or PU,DQ017634,570,,,#,#,pDNR-LIB,ZDB-GENE-080403-11,
V525,,VL100,crebbpa,The transcriptional coactivators p300 and CBP=CREBBP are histone acetyltransferases.,,#,,epi," 	Histone modification write",CREB binding protein a,histone acetyltransferase complex ; nucleus,histone acetyltransferase activity ; transcription cofactor activity ; transcription coactivator activity ; zinc ion binding,"histone acetylation ; regulation of transcription, DNA-templated"," 	Histone acetylation",NR,CBP-B,,"NR, liver and intestinal bulb at 5d"," 	8945521",,PU-RP,DQ017641,716,,,#,histone,pBS-SK+,ZDB-GENE-050208-439,
V526,,VL101,ep300b,,,,,epi,,E1A binding protein p300 b,histone acetyltransferase complex ; nucleus,histone acetyltransferase activity ; transcription cofactor activity ; transcription coactivator activity ; zinc ion binding,"histone acetylation ; regulation of transcription, DNA-templated",,NR,P300-B,,NR +  More labelling in brain ventricular zone and in intestinal bulb,,,,DQ017642,561,,,,,pBS-SK+,ZDB-GENE-080403-15,
V53,V450,CB1058,sb:cb1058,,,,,,,sb:cb1058,,,,,,GA1254,,"G : Ø
ES : notochord
MS : caudal notochord, lateral mesoderm, pronephric duct
24 hrs : pronephric duct, (less in medial part)
36 hrs : same
48 hrs : same, + ear, + liver",,T7,ABJ249-ABJ250,CF943694,1.5,2,sending CB,,,pBK CMV,ZDB-GENE-040108-9,
V54,V451,CB1064,blvrb,,,,,,,biliverdin reductase B,cellular_component,molecular_function,biological_process,,,GA1350,,blood after 24 hrs,,T7,ABJ249-ABJ250,CF943700,1.5,3,sending CB,,,pBK CMV,ZDB-GENE-030131-1516,
V55,V451,CB1073,slc13a1,,,,,,,"solute carrier family 13 (sodium/sulphate symporters), member 1",membrane ; integral component of plasma membrane ; integral component of membrane,sodium:sulfate symporter activity ; transporter activity,sodium ion transport ; sulfate transport ; transmembrane transport,,,GA1475,,"G : ? ES - 3d : Ø
4, 5 dy : epidermis on the roof of III and IV th ventricule",,T7,ABJ249-ABJ250,CF943709,2.7,3,sending CB,,,pBK CMV,ZDB-GENE-031222-3,
V56,V451,CB1079,ahcy,,,,,,,adenosylhomocysteinase,cytosol,adenosylhomocysteinase activity ; hydrolase activity,S-adenosylmethionine cycle ; one-carbon metabolic process,,,GA1584,,"G : Ø
ES : Ø
MS : retina, tectum, somites, posterior spinal chord, YSL
24 hrs : YSL, retina, tectum, somites, branchial arches
36 hrs : same
48 hrs YSL, retina, tectum",,T7,ABJ249-ABJ250,CF943715,2,2,sending CB,,,pBK CMV,ZDB-GENE-031219-6,
V57,V452,CB1086,spi1b,,,,,,,Spi-1 proto-oncogene b,nucleus,"RNA polymerase II transcription factor activity, sequence-specific DNA binding ; sequence-specific DNA binding ; protein binding ; DNA binding ; transcription factor activity, sequence-specific DNA binding","negative regulation of erythrocyte differentiation ; negative regulation of neutrophil differentiation ; positive regulation of gene expression ; neutrophil differentiation ; myeloid cell differentiation ; macrophage differentiation ; regulation of transcription, DNA-templated ; erythrocyte development",,,GA1691,,YSL (???),,T7,ABJ249-ABJ250,CF943722,2.7,1,sending CB,,,pBK CMV,ZDB-GENE-980526-164,
V6,V413,CB289,tram1,,,,,,,translocation associated membrane protein 1,membrane ; integral component of membrane,NA,protein transport ; transport,,,B646,,"G : YSL, axis
Es : YSL, notochord, polster +++
MS : same, weak in ear
24 hrs : YSL, notochord weak, hatching gland
36 hrs : ear, branchial arches (weak), pectoral fin
48 hrs : anterior branchial arches, part of otic capsule, pectoral fin, liver primoridium
",,T3,VY13-M13R or RP,BU670696,2.2,2,sending CB,,,pSPORT1,ZDB-GENE-021011-1,
V7,,CB452,myclb ,,,,,,,"MYCL proto-oncogene, bHLH transcription factor b",,,,,,B758,,"G : neural plate (except in axis)
ES : hindbrain stripes, neural plate (at the spinal chord level) (look at the double HIS Krox20-ELF), dorsal and ventral neurons, weak in segmental plate
MS : posterior diencephalon, posterior midbrain, MHB ( ?), hindbrain and spinal chord, mainly ventral and spinal chord neurons, trigeminal ganglia, somites, tail bud region (micro)
24 hrs : cranial ganglia, ventral CNS from hindbrain to spinal chord, olfactory placodes, diencephalon, YSL, weak in somites, chordo-neural hinge ( ?), lateral line primordium
36 – 48 hrs : cranial ganglia, diencephalon, ventral hindbrain, lateral line primordia
",,T3,VY13-M13R or RP,,3.1,4,,,,pSPORT1,,
V8,V410,CB197,pou5f3,,,,,,,"POU domain, class 5, transcription factor 3",nucleus,"protein heterodimerization activity ; sequence-specific DNA binding ; chromatin binding ; DNA binding ; transcription factor activity, sequence-specific DNA binding","morphogenesis of embryonic epithelium ; regulation of endodermal cell fate specification ; epiboly ; ectoderm development ; hindbrain development ; brain segmentation ; epiboly involved in gastrulation with mouth forming second ; transcription, DNA-templated ; embryonic pattern specification ; anatomical structure morphogenesis ; brain development ; mesoderm development ; multicellular organism development ; regulation of gene expression ; regulation of transcription, DNA-templated ; endoderm formation ; fin regeneration ; dorsal/ventral pattern formation ; regulation of DNA methylation ; positive regulation of transcription, DNA-templated",,,SH199,,"G : NR +++
ES : 3 stripes (MHB, hindbrain), hindbrain neurons, ventral neural plate (more posteriorly), weak in postserior neural plate
MS – 36 hrs : caudal spinal chord
48 hrs – 5 d : Ø
",,T3,PU-RP,CB417234,2.8,3,sending CB,,,pBSIISK+,ZDB-GENE-980526-485,
V80,,FR_3479,denr,,,,,,,density-regulated protein,cellular_component,translation initiation factor activity,translational initiation ; translation,,,GS445,,"G - MS : Ø
24 - 48 h : retina, tectum, myotomes",,T3,ADX299-M13F or PU,CB351775,1.3,2,14 th sending,,,pDNR-LIB,ZDB-GENE-040718-450,
V81,,FR_1004,rlbp1b,,,,ENSDARG00000045808,,,retinaldehyde binding protein 1b,intracellular,transporter activity,optokinetic behavior ; response to light stimulus ; transport,,,GS904,,"G - MS : Ø
24 - 48 h : retina and epiphysis",,T3,ADX299-M13F or PU,CB356544,1.7,4,3 rd sending,,,pDNR-LIB,ZDB-GENE-040426-1870, ZDB-EST-041008-13
V82,,FR_1000,hoxd12a,,,,ENSDARG00000059263,,,homeobox D12a,nucleus,sequence-specific DNA binding ; DNA binding,"transcription, DNA-templated ; multicellular organism development ; regulation of transcription, DNA-templated",,,GS1115,,send,,T3,ADX299-M13F or PU,CB359704,1.8,4,3 rd sending,,,pDNR-LIB,ZDB-GENE-990415-118, ZDB-EST-041008-9
V83,,FR_4113,gnpda1,,,,,,,glucosamine-6-phosphate deaminase 1,cytoplasm,glucosamine-6-phosphate deaminase activity ; hydrolase activity,N-acetylglucosamine metabolic process ; carbohydrate metabolic process,,,GS1335,,"G - MS : Ø
24 - 36 h : very weak in paraxial mesoderm
48 h : intestinal bulb
5 d : intestinal bulb, intestine",,T3,ADX299-M13F or PU,"CB361845	",1.3,1,10 th sending,,,pDNR-LIB,ZDB-GENE-050417-417,
V84,,FR_1100,ppib,,,,ENSDARG00000092798,,,peptidylprolyl isomerase B (cyclophilin B),cellular_component,isomerase activity ; peptidyl-prolyl cis-trans isomerase activity,protein peptidyl-prolyl isomerization ; protein folding,,,GS1844,,"G :axis
ES : polster, notochord
MS : hatching gland, notochord, ear
≥ weak NR",,T3,ADX299-M13F or PU,CB365725,1.4,1,7 th sending,,,pDNR-LIB,ZDB-GENE-040426-1955, ZDB-EST-050208-6
V85,,FR_1164,apoa4b.1,,,,ENSDARG00000040298,,,"apolipoprotein A-IV b, tandem duplicate 2",high-density lipoprotein particle ; blood microparticle ; chylomicron ; extracellular region,lipid binding ; cholesterol transporter activity ; phosphatidylcholine binding ; phosphatidylcholine-sterol O-acyltransferase activator activity ; cholesterol binding,triglyceride homeostasis ; lipid transport ; high-density lipoprotein particle assembly ; neuron projection regeneration ; transport ; phospholipid efflux ; positive regulation of fatty acid biosynthetic process ; reverse cholesterol transport ; cholesterol homeostasis ; cholesterol efflux ; positive regulation of cholesterol esterification ; positive regulation of lipoprotein lipase activity ; cholesterol biosynthetic process ; lipoprotein metabolic process ; phosphatidylcholine metabolic process ; regulation of intestinal cholesterol absorption ; very-low-density lipoprotein particle remodeling ; positive regulation of triglyceride catabolic process ; triglyceride catabolic process,,,GS1912,,"G : Ø
ES - 5d : YSL",,T3,ADX299-M13F or PU,CB366235,1.7,2,3 rd sending,,,pDNR-LIB,ZDB-GENE-030131-3143, ZDB-EST-041008-47
V86,,FR_1350,depdc7,,,,,,,DEP domain containing 7,NA,molecular_function,intracellular signal transduction,,,GS2157,,"3*

G : involuted mesoderm, Ø in axis
ES : tail bud, Ø in central part  (likely chordo neural hinge)
MS : tail bud
24 - 48 h  : nose",,T3,ADX299-M13F or PU,CK676254,2.2,3,3 rd sending,,,pDNR-LIB,ZDB-GENE-060512-176,
V87,,FR_1593,si:ch73-234b20.5,,,,ENSDARG00000086996,,,si:ch73-234b20.5,cellular_component,molecular_function,biological_process,,,GS2468,,"G : forerunner cells
ES : Kupffer's vesicle
then NS",,T3,ADX299-M13F or PU,CK678365,1.2,2,3 th sending,,,pDNR-LIB,ZDB-GENE-041008-183, ZDB-EST-041008-408
V88,,FR_1775,arhgef7b,,,,,,,Rho guanine nucleotide exchange factor (GEF) 7b,NA,Rho guanyl-nucleotide exchange factor activity ; guanyl-nucleotide exchange factor activity,regulation of Rho protein signal transduction ; protein localization to adherens junction ; endothelial cell proliferation ; blood vessel development ; epiboly involved in gastrulation with mouth forming second ; intracellular signal transduction ; angiogenesis,,,GS2739,,"G - ES : EVL
MS : EVL, hatching gland, weak in olfactory placode
24 h : nose, hatching gland, otic vesicle, lateral line primordium, pronephric ducts
36 h : nose, hatching gland, otic vesicle, lateral line primordium, pronephric ducts
48 h : + pharynx",,T3,ADX299-M13F or PU,CK680663,2.5,3,7 th sending,,,pDNR-LIB,ZDB-GENE-041212-49,
